Species,Population,Plant,Bracts,Inflor,Mphase,Fphase,Closed,Buds,Temp,StartSunset,benzonitrile,benzaldehyde,anisole,"1,3-diphenylpropan-2-one",N-phenylformamide,octan-3-one,methyl hexanoate,"but-2-ene-1,4-diol",octan-2-one,hexan-1-ol,4-oxoisophorone,2-methylbutanoic acid,indole,cyclopentanone,2-phenylacetaldehyde,β-mercene,ethyl hexanoate,methyl furan-3-carboxylate,methyl 2-aminobenzoate,methyl (Z)-hex-3-enoate,2-phenylacetonitrile,"4-hydroxy-2,6,6-trimethyl-3-oxocyclohexene-1-carbaldehyde",rosefuran,(Z)-pent-2-en-1-ol,pent-1-en-3-one,"3,7-dimethylundecane","5,7-dimethylundecane",hept-2-enal,"2,3,5,8-tetramethyldecane","(3E)-4,8-dimethylnona-1,3,7-triene","2,2,6-trimethylcyclohexane-1,4-dione",4-methyloctane,methyl (E)-hex-2-enoate,propylcyclopropane,tridec-1-ene,"3,5,5-trimethylhex-2-ene",unknown benzenoid,"3,5-dihydroxy-6-methyl-2,3-dihydropyran-4-one",hept-1-en-3-one,"cyclopentane-1,2-dione",[(Z)-hex-3-enyl] hexanoate,[(Z)-hex-3-enyl] formate,oct-1-en-3-ol,linalool oxide (pyranoid) ketone,[(Z)-hex-3-enyl] acetate,(E)-β-ocimene,linalool oxide (pyranoid),"(3E,5E)-octa-1,3,5-triene","3,5,5-trimethylhex-1-ene",furan-3-ylmethanol,(E)-hex-3-enal,valencene,"1,3-dihydro-2-benzofuran",[(E)-hex-3-enyl] butanoate,perillene,"2,6,6-trimethyloctane",(E)-hept-2-ene,"3H-pyran-2,6-dione",linalool oxide (furanoid),6-methylheptan-3-one,pentyl propanoate,4-methylpentan-1-ol,hexanal,(E)-hex-2-enal,"4-methyl-1,3-thiazole",hex-4-enyl acetate,hept-3-ene,linalool,2-methylnonane,dec-1-ene,(Z)-hex-3-en-1-ol,"heptane-2,3-dione",methyl prop-2-enoate,α-phellandrene,p-cymene,epoxy-linalooloxide
Schiedea hookeri,879WKG,5,4,4,3,62,33,21,22,1.32,0,5.93,1.37,0,4.91,9.24,0,0,0,0,0,0,16.12,0,0.24,0,0,0,4.94,0,0,0,0,0,14.65,0,0,0,0,8.85,0,0,0,0,0,0,17.81,2.83,0,124.61,0,0,15.74,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,18.47,0.5,0,0,0,8.8,0,0,0,0,1.24,0,0,29.95,7.65,0,0.88,1.23,0
Schiedea hookeri,879WKG,22,12,4,3,17,3,14,32,-4.95,0,1.6,0,0,0,9.44,4.6,0,0.59,0,0,0,0,0,0.35,0,0,5.82,0,5.74,0,0,0,0,0,0,0,1.89,0,0,0,0,1.63,13.65,0,3.14,0,0,0,0,0,0,53.73,0,0,0,0,0,0,0,26.28,0.15,0,0,0,0,0,0,0,0,2.11,0,55.75,14.21,0,0,0,0,0,0,74.25,0,0,0.26,0,0
Schiedea hookeri,879WKG,22,12,4,3,17,3,14,22,1.2,0,2.38,0,0,0,0.99,0,0,0,0,0,0,0.9,0,0.11,0,0,1.37,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0.61,3.07,0.56,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,11.98,4.24,0,0,0,0,0,0,0,2.37,0,0.69,0.89,0
Schiedea hookeri,879WKG,25,19,4,2,20,23,23,23,1.14,0,35.5,0,0.65,0,14.07,1.93,0,0,0,0,0,0.89,0,0,0,0,0.89,1.59,10.27,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,2.87,0,113.91,2.66,0,0,0,0,0,0,6.82,0,28.13,1.24,0,0,0,0,0,0,0,0,15.93,7.73,0,0,9.45,0,0,1.33,243.7,4.49,0,0,3.32,0
Schiedea hookeri,879WKG,26,6,1,3,13,34,11,21,2.72,0,7.05,0,0,0,7.11,0,0,0,0,0,0,3.17,0,0,0,0,0,0,6.1,0,0,0,0.49,0,0,0,0,0,0,0,0,2.66,0,0,0,0,2.26,0,86.82,2.82,0,38.24,0,25.01,0,0,0,0,0,13,0,43.62,1.81,0.38,0,1.22,9.76,0,0,0,0,8.28,7.38,0,0,0,0,0,0,164.29,12.43,3.99,0,0,0
Schiedea hookeri,879WKG,27,16,3,1,22,42,44,22,2.15,0,2.47,0,0,1.87,10.29,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,15.19,5.36,0,0,0,0,0,74.65,1.45,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,16.28,5.43,0,0,4.91,0,3.06,0,99.94,11.47,0,0.24,0,0
Schiedea hookeri,879WKG,27,16,3,1,22,42,44,22,-4.6,0,1.78,0.34,0,0,3.83,0,0,0,0,0,0,0,0,0.09,0,0,0,1.91,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.61,0.48,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,28.89,6.43,0,0,0,0,0,0,7.35,0,0,0.86,0.78,0
Schiedea hookeri,879WKG,28,13,7,1,36,20,19,32,-5.1,0,3.07,0.99,0,0,7.88,0,0,0,0,0,0,0,0,0.21,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,24.05,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.64,0,0,0,0,0,0.68,0,0,0,0,0,1.3,0
Schiedea hookeri,879WKG,28,13,7,1,36,20,19,22,1.2,0,2.67,2.66,0,0,12,0,0,0,0,0,0,2.4,0,0.23,0,1.37,2.84,2.2,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,1.5,0,0,0,0,0,26.7,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.43,0,0,3.26,1.29,0,0,0,16.92,1.82,0,0.43,1.47,0
Schiedea hookeri,879WKG,29,10,4,3,19,41,0,22,0.87,0,3.19,0.56,0,0,16.93,1.36,0,0,0,0,0,0.35,0,0.3,0,0,0.67,1.7,6.05,0,0,0,0,0,0,0,0,0,0.98,0,0,3.39,0,0,0,4.9,0,0,0,2.6,0,142.85,2.46,5.44,0,0,0,0,0,15.77,0,0,3.84,0,0,0,0,0,0,0,0.37,25.27,19.18,1.49,0,0,0.52,2.85,0,340.29,1.51,0,0,0,0
Schiedea hookeri,879WKG,30,16,3,2,12,52,5,22,0.79,0,2.35,0,0,0,14.92,0.45,0,0,0,0,0,0.65,0,0.25,0,0,0.61,1.02,0,0,0,0,0,0,0.83,2.82,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0,53.2,0,0,0,0,0,0,0,14.92,0,0,0,0,0,2.22,0,0,0,0,0,39.9,9.24,0,0,5.06,0,0,0,25.5,0,0,0,0,0
Schiedea hookeri,879WKG,31,10,1,1,12,30,10,21,2.74,0,9.69,0,0,1.38,4.59,0,0,0,0,0,0,3.1,0,0,0,0,0.35,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,1.05,0,0,4.04,0,0,33.44,2.22,0,0,0.22,0,0,5.67,0,0,22.01,0,0,0,0,0,0,0,0,0,9.39,4.18,0,0,0,0,0,0,26.06,1.82,0,0,0,0
Schiedea hookeri,879WKG,32,8,1,4,10,23,4,21,2.69,0,6.18,0,0,0,4.43,0,0.93,0,0,0,0,0,0,0.15,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,16.28,0.5,0,0,0,0,0,0,0,0,5.48,0,0,0,0,0,0,0,0,0,6.96,2.04,0,0,0,0,0,0,17.66,3.99,0,0.21,0,0
Schiedea hookeri,Interpop,16,12,5,8,28,15,11,31,-4.49,0,1.95,0.82,0,0,6.81,0,0,1.19,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,32.42,0,0,0,0,0,0,0,16.08,0,0,0,0,2.3,0,0,0,0,0.55,0,54.83,6.2,0,0,0,0,0,0,4.83,0,0,0.41,0.95,0
Schiedea hookeri,Interpop,16,12,5,8,28,15,11,22,1.98,0,3.38,0.71,0,0,2.07,0,0.37,0,0,0,2.13,20.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,9.05,0,0.75,0,0
Schiedea hookeri,Interpop,19,0,1,6,21,89,12,21,1.67,0,5.6,0,0,0,33.38,0,0,0,0,0,0,4.54,0,0.12,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0.77,0,0,0,18.75,0,0,5.16,0,0,0,7.18,0,216.4,1.54,0,0,0,2.85,29.38,0,21.37,0,0,13.86,0,0,0,0,0,0,0,0,22.09,13.24,0,40.23,0,0.2,0,0,684.41,2.04,0,0,0.22,0
Schiedea hookeri,Interpop,20,0,4,3,32,76,30,22,2.73,0,2.8,1,0,0,37.14,0,0,0,0,0,0,12.31,0,0,0,0,0,0.29,0,0,0,1.61,0,0,0,0,0,0,2.23,0,0,0.64,1.1,2.39,15.98,17.89,0,0,0,0,0,173.47,4.28,0,0,0,1.98,0,0,7.88,0,0.49,0,2.43,0,0,0,0,0,0,0,35.59,2.6,0,1.03,0,0,0,0,99.09,16.54,0,0,0,0
Schiedea hookeri,Interpop,20,24,3,4,23,19,13,23,1.06,0,11.25,0.4,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,4.97,13.91,0,0,0,1.77,0,53.75,1.77,0,0,0,0,0,0,7.92,0,0,4.16,0,0,0,0,0,0,0,0,22.04,6.11,0,5.4,0,0.6,0,0,77.83,6.61,0,0,2.6,0
Schiedea hookeri,Interpop,21,6,3,3,27,10,11,23,1.45,0,16.21,0.1,0,0.9,14.69,0.43,0,0,0,0.13,0,1.14,0,0.23,0,0,0.36,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,6.86,0,6.44,26.04,0,0,0,0,0,81.65,1.48,0,0,2.61,0,0,0,20.72,0,0,0,0,0,0,0,0.83,0,0,1.47,27.63,24.6,0,0,0,0,0,0,128.66,14.18,0,0.33,0,0
Schiedea hookeri,Interpop,23,10,5,2,25,22,48,22,2.66,0,6.45,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0.55,0,0.44,1,0,0,0,0.92,0,0,0,0.84,0,0,1.37,0,0,0,0,0,3.37,12.16,0,0,0,0,0,60.2,8.45,0,0,0,0,0,0,13.19,0,0,0,1.05,0,0,0,2.81,0,0,2.46,20.89,8.99,0,0,4.19,0.73,3.21,0,58.64,6.4,0,0.17,1.07,0
Schiedea hookeri,Interpop,23,10,5,2,25,22,48,22,-4.57,0,2.29,0,0,0,2.13,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0.6,0,1.53,6.28,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,3.28,6.61,0.65,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,1.96,39.45,16.91,0,0,0,0,0,0,7.14,0,0,0,0,0
Schiedea hookeri,Interpop,24,12,3,1,6,1,16,22,0.84,0,1.8,0,0,0,11.34,2.53,0,0,16.06,0,0,0.12,0,0,0,0,0,0.68,11.1,0,0,0,0,0,0,1.02,0,0,0.41,0,0,4.36,0,0,0,0,0,0,0,9.85,0,124.99,1.61,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,1.4,0,0,0,14.81,14.08,0,3.54,0,0,0.94,0,280.59,0,0,0,0,0
Schiedea hookeri,Interpop,33,12,3,0,28,10,11,23,-0.09,0,0.69,0.28,0.2,0,7.83,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,2.53,0,1.93,0,0,0,0,0,0,45.5,0.83,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,5.97,6.01,0,0,0,2.37,0,0,100.55,0,0,0.44,0,0
Schiedea hookeri,WK,12,8,8,1,26,17,8,31,-4.59,0,2.02,0.22,0,0,73.73,0.77,0,0,0,0,0,0,0,0.61,0,0,0.72,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,7.14,0.41,0,0,0,4.01,0,272.84,0,0,0,0,0,0,0,14.26,0.24,0,1.06,0,0,0,0,0,0,0,0,29.26,6.16,0,6.86,0,0,0,0,145.1,0,0,0,0.41,0
Schiedea hookeri,WK,12,8,8,1,26,17,8,22,1.98,0,4.47,0.41,0,0,2.29,0,0,0,0,0,0,3.82,0,0,0,0,0,0.11,0,0,0,0,0,0,0,1.05,0,0,2.5,0,0,0,0,0,0,0,0,0,2.55,0,3.99,2.23,0,0,0,0,0,0,3.4,0,0,5.96,0,0,0,0,0,0,0,0,0,8.49,0,0,0,0,0,0,0,0,23.44,0,0.35,0,0
Schiedea hookeri,WK,13,20,9,6,28,12,25,31,-4.74,0,1.41,0.23,0,0,107.36,0,0,0,0,0,0,0,2.98,0.12,0,0,0.46,0,0,0,0,0,0.91,0,0,1.54,0,0,0,0,0,0,7.3,0,11.79,0,0,0,0,1.86,0,283.17,7.26,0,0,0,1.77,0,0,10.39,0,0,0,0,0,0,0,2.33,0,0,0,25.72,3.82,0,3.78,0,1.13,0,0,167.05,0,0,0,1.14,0
Schiedea hookeri,WK,13,20,9,6,28,12,25,22,1.98,0,8.12,0.82,0,0,25.83,0,0,0,0,0,0,1.15,2.68,0,0,0,0.64,1.75,0,0,0,0,0,0,0,0,0,0,11.41,0,0,0,0,0,1.69,12.18,0,0,0,0,0,28.62,10.38,0,0,0,0,0,1.22,0,0,0,0,0,3,0,0,2.36,0,0,0,14.59,0,0,0,0,1.15,0,0.56,22.42,22.07,0,3.58,1.7,0
Schiedea hookeri,WK,14,6,4,1,36,16,20,20,2.01,0,0.89,0,0,0,8.33,0,0,0,0,0,0,0.08,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,4.13,0.93,0,0,0,0.66,0,43.55,0.59,0,0,0,0.53,0,0,1.68,0,0,0.38,0,0,0,0,0,0,0,0,10.48,1.9,0.73,3.27,1.81,0,0,0,39.11,1.19,0,0,0,0
Schiedea hookeri,WK,15,12,5,1,32,23,23,31,-4.42,0,1.52,0,0,0,13.96,0,0,0,0,0,0,0,0,0.36,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0,57.27,0,0,0,0,0,0,0,10.28,0,0,0,0,0,0,0,0,1.29,0,0,27.96,3.95,0,0,0,0,0,0,12.1,0,0,0,0,0
Schiedea hookeri,WK,15,12,5,1,32,23,23,22,1.98,0,4.64,0.28,0,0,3.15,0,0,0,0,0,0,9.13,0,0.22,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,4.94,0,0,0,0,2.04,6,0,0,0,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0,7.22,1.73,0,0,0,0,0,0,0,4.43,0,0,0,0
Schiedea hookeri,WK,17,6,3,1,13,14,14,21,2.67,0,3.95,0,0,0,18.22,0,0,0,0,0,0,0.31,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,4.94,2.75,0,0,0,1.52,0,53.47,1.03,8.68,0,2,1.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6.13,3.31,0,0,0,0.18,0,0,41.19,2.39,0,0,0,0
Schiedea hookeri,WK,18,1,2,2,17,22,11,22,2.32,0,12.19,0,0.65,0,58.55,0,0,0,0,0,0,1.81,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,7.44,0,28.89,21.36,0,0,0,1.06,0,245.06,3.16,7.11,0,0.2,2.4,0,0,27.95,0,0,1.26,0,0,0,0,0,0,0,0,33.64,13.51,0,0,0,0,0,0,245.61,4.41,0,0,0,0
Schiedea hookeri,WK,56,2,4,12,57,23,21,22,1.32,0,7.39,0,0,0,5.58,0,1.98,0,0,0,0,10.65,0,0.57,0,0,0,0,0,0,1.35,0,0,18.38,0,0,0,0,1.77,0,0,0,0,0,0,32.49,2.75,0,34.08,0,0,18.11,0,0,0,0.5,0,0,31.51,27.68,0.07,0,0,0,0,0,13.9,0,0,0,0,27.08,5.2,0,4.04,0,1.11,0,0,52.34,2.71,0,0,0,0
Schiedea hookeri,WK,56,12,2,4,22,10,9,25,-1.08,0.28,1.61,0,0,0.42,5.47,0,0,0,0,0,0,6.94,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0.44,2.84,0,0,0,0,21.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,2.71,0,0,0,0,0,0,9.1,0,0,0,0,0
Schiedea hookeri,WK,57,2,1,2,14,34,5,25,-1.98,0,1.22,0,0,0,5.04,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.35,0.72,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0,0,0,16.3,5.6,0,0,0,0,0,0,16.39,0,0,0,0,0
Schiedea hookeri,WK,58,4,1,2,14,0,15,25,-0.91,0,1.55,0,0,1.78,1.59,0,0,0,0,0,0,3.71,0,0,0,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,4.54,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,3.31,0,0,0,0.9,1,0,0.68,8.32,1.72,0,0,0,0
Schiedea hookeri,WK,59,1,4,6,23,8,10,22,0.53,0,4.31,0.16,0,0,5.96,0,0,0,0,0,0,1.82,0,0,0,0,0.4,1.22,0,0,0,0,0,0,0,0,0,0,6.98,0,0,0,0,0,2.01,11.58,0.99,0,34.03,0,0,16.28,1.19,0,0,0,0,0,12.47,24.35,0,0,0,0,0,0,5.18,0,0,0,0,14.22,4.59,0,3.53,0,1.19,0,0,89.61,13.38,2.7,0.45,0,0
Schiedea hookeri,WK,59,3,2,1,14,15,7,24,1.2,0,12.65,0,0,1.68,35.22,1.83,0,0,31.15,0,0,8.35,0,0,0,0,0,5.19,22.03,0,0,0,4.58,0,0,0,0,0,3.14,0,0,2.15,0,0,10.56,20.19,0,0,12.1,4.83,0,127.75,0.39,12.28,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0.27,0,0,1.56,19.05,11.1,0,0,0,4.64,0,0,465.85,74.72,0,1.3,0,0
Schiedea hookeri,WK,60,7,4,0,10,0,14,23,1.39,0,2.73,0,0,0,5.96,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0.82,8.31,0,0,0,0,0,0,0,0,36.06,0.55,0,0,0.25,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,28.43,11.18,0,5.53,0,0.21,0,0,119.23,4.62,0,1.75,0,0
